1 K7/8/8/4k3/8/8/8/7R w - - 0 1
2 8/3bk3/2pppp2/8/4P3/3PKP2/3RQ3/8 w - - 0 1
3 2b1k3/3ppp2/8/8/8/8/2PPPP2/2B1KB2 w - - 0 1
4 7k/5K2/8/6P1/8/8/8/8 w - - 0 1
5 5k2/8/8/8/3PK3/8/8/8 w - - 0 1
6 8/6k1/8/6K1/8/6P1/8/8 w - - 0 1
7 5k2/p4ppp/8/8/8/8/PP3PPP/6K1 w - - 0 1
8 5b2/6k1/8/6Bp/4BP2/7K/8/8 w - - 0 1
9 8/8/8/p2k4/3P4/K6P/5P2/8 w - - 0 1
10 k7/8/KP1p2p1/3Pp1p1/4P1P1/5P2/8/8 w - - 0 1
11 8/8/8/pPk5/P7/2K5/8/8 w - - 0 1
12 8/8/1p1k4/1P6/3PK3/8/8/8 w - - 0 1
13 1k2r3/2p5/p7/2PQ4/8/P7/2K5/8 w - - 0 1
14 3K4/5k1N/6p1/6P1/8/8/8/8 w - - 0 1
15 8/8/5pk1/8/4PPK1/8/8/8 w - - 0 1
16 8/5kp1/8/6K1/6PP/8/8/8 w - - 0 1
17 8/8/2p5/1p3k2/5P2/5K2/1P6/8 w - - 0 1
18 6Q1/8/8/3K4/8/8/pk6/8 w - - 0 1
19 8/K1k5/R7/8/5p2/6p1/8/8 w - - 0 1
20 8/4k3/3ppp2/8/2PPPP2/4K3/8/8 w - - 0 1
21 3K4/3P1k2/8/8/8/8/r7/4R3 w - - 0 1
22 3k4/5K2/4P3/2b5/8/2B5/8/8 w - - 0 1
23 1n2k3/1ppppp2/8/8/8/8/PPPPPPPP/1N2K1N1 w - - 0 1
24 8/1k6/8/BP4b1/3P4/2K5/8/8 w - - 0 1
25 8/8/8/8/3K4/4Q3/pk6/8 w - - 0 1
26 8/4pk2/8/4R3/3P1P2/4PK2/8/r7 w - - 0 1
27 5nrk/5R1p/7P/6N1/8/8/8/7K w - - 0 1
28 8/6k1/6P1/p2p3P/8/8/2K5/8 w - - 0 1
29 2b1k1n1/pppppppp/8/8/8/8/PPPPPPPP/R2QK2R w KQ - 0 1
30 2b1k3/1ppppp2/8/8/8/8/PPPPPPPP/1N2K1N1 w - - 0 1
31 2b1kb2/1pppppp1/8/8/8/8/PPPPPPPP/1N2K1N1 w - - 0 1
32 8/1pkp4/1pp5/8/8/8/2RP4/2QK4 w - - 0 1
33 8/7K/1p3b2/4p3/1PP5/6k1/3B4/5B2 w - - 0 1
34 5nrk/5R1p/7P/6N1/8/8/8/7K w - - 0 1
35 2b1k3/1ppppp2/8/8/8/8/PPPPPPPP/2B1KB2 w - - 0 1
36 r3k3/1ppppp2/8/8/8/8/PPPPPPPP/R3K2R w KQq - 0 1
37 3q1r1k/5p1p/6p1/4N3/3B4/8/5PPP/6K1 w - - 0 1
38 1n2k2r/pppppppp/8/8/8/8/PPPPPPPP/RNBQK1NR w KQk - 0 1
